Customer No,Customer Nationality,Customer Age,Account Opening Date,DC Spends,SALARY_FLAG,DR_FLAG,Bill Payment,CC Spends,Monthly Average Balance
353446,INDIA,67,17/08/2017,Active,No Salary,No DR,No Bill,No CC,1820.582258
99061,PHILIPPINES,71,13/11/2020,Inactive,Salary with Bank,No DR,Active Bill,No CC,94.0283871
344207,GREECE,56,8/11/2018,Inactive,No Salary,Inactive DR,Inactive Bill,Inactive CC,5020.71
496773,GHANA,40,16/07/2019,Active,Salary with Bank,Active DR,No Bill,Active CC,0
39530,PHILIPPINES,57,25/11/2017,Active,No Salary,Inactive DR,Active Bill,No CC,196.2148387
68441,PHILIPPINES,32,29/09/2017,No Spends,No Salary,No DR,Active Bill,Active CC,0
436577,INDIA,21,28/07/2020,Active,Salary with Bank,No DR,Inactive Bill,Inactive CC,11.91612903
55654,PHILIPPINES,77,20/07/2019,No Spends,Salary with Bank,No DR,Active Bill,Inactive CC,0
264081,INDIA,59,26/10/2017,Active,Salary with Bank,No DR,Inactive Bill,No CC,2983.473871
29391,INDIA,36,4/02/2021,No Spends,Salary with Bank,Inactive DR,No Bill,No CC,2.55
451809,INDIA,61,19/04/2021,Inactive,No Salary,No DR,Active Bill,No CC,0
317557,PHILIPPINES,40,28/06/2020,No Spends,Salary with Bank,Inactive DR,Inactive Bill,Inactive CC,8808.169355
209206,PHILIPPINES,75,30/06/2021,Active,No Salary,No DR,Active Bill,Inactive CC,2.44
412911,SRI LANKA,75,16/08/2017,No Spends,Salary with Other Bank,Inactive DR,Active Bill,Inactive CC,16393.3929
293946,INDIA,72,13/09/2021,Inactive,Salary with Other Bank,Active DR,Inactive Bill,No CC,0
3385,INDIA,53,11/06/2021,No Spends,Salary with Other Bank,Inactive DR,Active Bill,Active CC,4690.892581
219231,SRI LANKA,21,27/12/2020,No Spends,Salary with Other Bank,No DR,Inactive Bill,Active CC,4655.13871
174076,PHILIPPINES,40,23/12/2017,Active,No Salary,No DR,Inactive Bill,Inactive CC,300.3367742
90579,INDIA,39,14/11/2021,Inactive,Salary with Bank,Inactive DR,Inactive Bill,No CC,44.29129032
296112,INDIA,23,17/02/2020,Inactive,Salary with Bank,No DR,No Bill,Inactive CC,0
456405,INDIA,57,21/06/2019,Active,No Salary,No DR,No Bill,Active CC,23.08193548
368152,INDIA,32,18/05/2019,Inactive,Salary with Bank,Active DR,No Bill,No CC,1386.592581
432315,LEBANON,68,25/04/2021,Inactive,Salary with Bank,Inactive DR,No Bill,Active CC,0
342997,PAKISTAN,70,17/06/2020,Inactive,Salary with Bank,Inactive DR,Inactive Bill,No CC,18.76903226
335812,INDIA,43,12/08/2018,No Spends,Salary with Bank,Inactive DR,No Bill,Inactive CC,0
291562,INDIA,65,30/12/2018,Inactive,Salary with Bank,Inactive DR,Active Bill,Inactive CC,398.2722581
163302,NEPAL,75,2/10/2019,No Spends,Salary with Bank,No DR,Active Bill,Inactive CC,0.430322581
231001,BANGLADESH,63,7/01/2021,Active,Salary with Bank,Inactive DR,No Bill,Active CC,0
397814,PHILIPPINES,71,26/02/2018,Inactive,Salary with Other Bank,Inactive DR,No Bill,No CC,-0.17
494195,NEPAL,40,22/12/2021,Active,Salary with Other Bank,Inactive DR,No Bill,No CC,0
416582,PHILIPPINES,46,2/03/2021,No Spends,Salary with Bank,Active DR,Active Bill,Active CC,0
371041,SRI LANKA,51,23/08/2019,Active,No Salary,No DR,Inactive Bill,Active CC,2882.623548
397059,INDIA,34,7/07/2017,Active,Salary with Other Bank,No DR,No Bill,Active CC,213.3658065
60113,SUDAN,51,30/04/2018,Inactive,Salary with Bank,Active DR,No Bill,Active CC,3767.435806
299472,UNITED ARAB EMIRATES,71,25/07/2017,Inactive,Salary with Bank,No DR,No Bill,Active CC,0
74318,SUDAN,30,19/09/2021,No Spends,No Salary,Inactive DR,Inactive Bill,Inactive CC,0.725806452
184983,PHILIPPINES,60,20/01/2022,Inactive,Salary with Bank,Inactive DR,Inactive Bill,No CC,-27.5
48332,PAKISTAN,77,13/08/2018,Active,Salary with Bank,No DR,No Bill,Inactive CC,0
81225,UNITED ARAB EMIRATES,46,6/09/2017,No Spends,No Salary,Inactive DR,No Bill,Inactive CC,0.9
453253,INDIA,28,25/05/2017,No Spends,No Salary,No DR,Inactive Bill,Active CC,9341.599677
312990,PHILIPPINES,65,12/10/2020,Active,No Salary,Active DR,Inactive Bill,Active CC,429.6745161
354842,PHILIPPINES,67,8/05/2020,Active,No Salary,Inactive DR,Active Bill,Active CC,38.99741935
82681,PAKISTAN,52,7/06/2017,Inactive,No Salary,No DR,No Bill,No CC,0
134426,PHILIPPINES,72,9/04/2021,No Spends,Salary with Bank,No DR,No Bill,No CC,0
327464,INDIA,69,29/03/2018,Inactive,No Salary,Active DR,Active Bill,Inactive CC,13298.23387
452829,PHILIPPINES,74,1/06/2019,Active,Salary with Bank,Inactive DR,No Bill,No CC,0
473882,INDIA,63,9/01/2019,Active,No Salary,Active DR,No Bill,Inactive CC,568.1354839
27111,PHILIPPINES,22,22/09/2018,Active,Salary with Bank,No DR,Inactive Bill,Inactive CC,15.93
417583,UNITED ARAB EMIRATES,68,15/02/2021,Inactive,Salary with Bank,Active DR,Active Bill,No CC,3.5
137934,INDIA,34,26/08/2019,Inactive,Salary with Bank,No DR,Active Bill,No CC,14566.29871
25801,INDIA,72,10/06/2020,No Spends,No Salary,Active DR,Inactive Bill,Inactive CC,2880.143226
380815,PHILIPPINES,64,15/03/2022,Active,No Salary,Active DR,Active Bill,No CC,0
258721,INDIA,68,8/04/2017,Inactive,No Salary,No DR,Inactive Bill,Inactive CC,0
161576,INDIA,43,15/09/2021,Active,Salary with Other Bank,No DR,Inactive Bill,Inactive CC,2312.226774
147101,ZIMBABWE,25,1/10/2018,No Spends,No Salary,Inactive DR,Active Bill,Inactive CC,276.2690323
23601,UNITED ARAB EMIRATES,23,7/04/2019,Inactive,No Salary,Active DR,Inactive Bill,Active CC,21.94
198538,SOUTH AFRICA,52,27/08/2017,Inactive,Salary with Bank,Active DR,Inactive Bill,No CC,2.520322581
318242,LEBANON,23,24/05/2021,No Spends,No Salary,Active DR,No Bill,Active CC,20547.04484
157090,PAKISTAN,76,8/11/2021,No Spends,Salary with Other Bank,Inactive DR,Inactive Bill,No CC,22602.35258
476263,INDIA,65,16/02/2019,Inactive,Salary with Other Bank,Inactive DR,Inactive Bill,No CC,372334.5035
272963,PAKISTAN,42,28/09/2019,No Spends,No Salary,No DR,Active Bill,Inactive CC,2141.246452
385538,INDIA,70,4/01/2020,No Spends,No Salary,Inactive DR,No Bill,No CC,2621.632581
168849,PHILIPPINES,48,4/10/2017,No Spends,Salary with Other Bank,No DR,Inactive Bill,Active CC,0
149567,INDIA,51,24/03/2017,Inactive,Salary with Other Bank,Active DR,Inactive Bill,Inactive CC,0.5
215939,INDIA,59,19/08/2020,Inactive,Salary with Other Bank,Inactive DR,Inactive Bill,Inactive CC,0
4241,PHILIPPINES,65,26/07/2017,Active,Salary with Other Bank,No DR,Inactive Bill,Inactive CC,1683.273226
270655,UNITED ARAB EMIRATES,25,27/10/2021,Active,Salary with Bank,Active DR,No Bill,Inactive CC,1.99
89501,PHILIPPINES,55,27/02/2017,Inactive,Salary with Other Bank,Inactive DR,Active Bill,No CC,4.857419355
190425,INDIA,59,19/10/2020,Active,Salary with Other Bank,Active DR,Active Bill,Active CC,892.86
131571,INDIA,63,1/02/2020,Inactive,Salary with Other Bank,Inactive DR,Inactive Bill,Active CC,860.386129
22129,LATVIA,73,15/07/2017,Active,Salary with Other Bank,No DR,Active Bill,No CC,280.17
84818,PAKISTAN,43,4/11/2019,Active,Salary with Bank,Active DR,No Bill,No CC,0
28563,PAKISTAN,35,5/01/2019,Active,Salary with Bank,Inactive DR,Inactive Bill,Active CC,211.7858065
320078,EGYPT,73,6/05/2017,Inactive,No Salary,Active DR,No Bill,Inactive CC,1261.799032
334881,INDIA,76,23/06/2019,Active,No Salary,Inactive DR,Active Bill,No CC,2639.951935
146555,INDIA,68,16/03/2020,Active,Salary with Other Bank,Active DR,Active Bill,Inactive CC,2489.850323
224147,PHILIPPINES,74,8/06/2020,Active,Salary with Other Bank,No DR,Inactive Bill,Active CC,1.340322581
398627,TUNISIA,46,16/04/2017,Active,Salary with Bank,Active DR,No Bill,Inactive CC,0
30091,PAKISTAN,49,3/01/2022,Inactive,Salary with Bank,No DR,Inactive Bill,No CC,0
435426,INDIA,41,12/02/2018,Inactive,Salary with Other Bank,Inactive DR,Active Bill,Active CC,1228.314194
209215,UNITED ARAB EMIRATES,35,1/07/2021,Active,Salary with Other Bank,No DR,No Bill,Inactive CC,0.6
249098,PHILIPPINES,56,28/10/2021,No Spends,No Salary,Inactive DR,No Bill,Inactive CC,0
456434,PHILIPPINES,25,5/03/2022,No Spends,Salary with Other Bank,No DR,Inactive Bill,Inactive CC,0
498664,SRI LANKA,24,14/12/2020,No Spends,Salary with Bank,Active DR,Inactive Bill,Active CC,275.7019355
55427,INDIA,37,1/04/2018,Active,Salary with Other Bank,No DR,No Bill,Inactive CC,0
347442,INDIA,71,24/07/2017,Inactive,No Salary,Active DR,Active Bill,No CC,37.63806452
354571,PAKISTAN,70,1/07/2021,No Spends,Salary with Other Bank,Active DR,Active Bill,Inactive CC,0
475326,INDIA,35,11/02/2020,Inactive,Salary with Bank,Active DR,Active Bill,Active CC,728.8587097
109235,SYRIA,43,22/04/2020,Inactive,Salary with Bank,Active DR,Active Bill,Active CC,6.482580645
195570,EGYPT,44,19/11/2020,Active,Salary with Bank,Active DR,Inactive Bill,Inactive CC,0
212605,INDIA,42,2/04/2017,Active,Salary with Other Bank,No DR,Active Bill,Inactive CC,0
170923,INDIA,69,11/11/2021,No Spends,No Salary,Active DR,No Bill,Inactive CC,4669.244839
341083,PHILIPPINES,64,23/03/2021,Active,Salary with Other Bank,Inactive DR,No Bill,Active CC,691.0490323
82527,INDIA,69,23/09/2017,Inactive,Salary with Bank,No DR,Active Bill,No CC,6.087741935
468563,INDIA,31,27/08/2021,Active,Salary with Other Bank,Inactive DR,No Bill,Active CC,0
254979,PAKISTAN,48,23/05/2017,No Spends,Salary with Bank,Active DR,Active Bill,Inactive CC,0
321834,BANGLADESH,22,14/12/2021,Active,No Salary,No DR,No Bill,Active CC,0
148978,PHILIPPINES,36,9/06/2021,Active,Salary with Bank,No DR,Inactive Bill,Active CC,700.423871
3319,NEPAL,21,13/04/2018,No Spends,Salary with Other Bank,Inactive DR,No Bill,Active CC,4.79
4777,INDIA,23,5/08/2021,Inactive,No Salary,No DR,Active Bill,Inactive CC,23332.75484
126992,NEPAL,21,20/04/2018,No Spends,Salary with Other Bank,Inactive DR,No Bill,No CC,37.50451613
242434,BANGLADESH,65,3/09/2020,Active,Salary with Bank,No DR,Active Bill,No CC,0
406897,BANGLADESH,70,19/02/2022,Active,No Salary,Inactive DR,Active Bill,Active CC,2.493548387
349216,UNITED ARAB EMIRATES,73,24/01/2020,Active,No Salary,Active DR,Inactive Bill,Active CC,79.79129032
319599,PHILIPPINES,46,1/03/2019,Inactive,Salary with Bank,Active DR,Inactive Bill,Active CC,0
199384,INDIA,29,29/09/2019,Inactive,No Salary,Active DR,Inactive Bill,No CC,0
25895,UNITED ARAB EMIRATES,51,17/02/2019,Inactive,Salary with Other Bank,Active DR,Inactive Bill,Inactive CC,2.55
492521,PHILIPPINES,46,20/02/2017,Inactive,No Salary,Inactive DR,Inactive Bill,Active CC,909.0003226
39282,INDIA,37,9/08/2021,Active,Salary with Bank,Active DR,Active Bill,Inactive CC,243.6896774
377549,PHILIPPINES,25,7/06/2021,Inactive,Salary with Other Bank,No DR,Inactive Bill,No CC,4395.570968
97800,UNITED ARAB EMIRATES,60,1/05/2020,Active,No Salary,No DR,Inactive Bill,Inactive CC,312.3777419
97164,SRI LANKA,27,2/05/2021,Active,Salary with Other Bank,No DR,Inactive Bill,Inactive CC,0
85284,IRAQ,49,30/11/2018,No Spends,Salary with Other Bank,Active DR,Active Bill,No CC,1.616129032
9855,INDIA,40,5/12/2021,Inactive,Salary with Bank,Active DR,Inactive Bill,No CC,4233.40871
152922,UNITED ARAB EMIRATES,65,2/04/2020,No Spends,No Salary,Active DR,Active Bill,Inactive CC,29.5383871
462930,PHILIPPINES,38,25/03/2020,No Spends,No Salary,Active DR,No Bill,No CC,142.3941935
320132,INDIA,61,30/09/2021,Active,No Salary,No DR,Active Bill,Inactive CC,0
299153,PHILIPPINES,46,29/12/2019,Inactive,Salary with Bank,No DR,Active Bill,No CC,22.38935484
309580,PHILIPPINES,70,27/05/2017,Inactive,No Salary,No DR,Inactive Bill,Active CC,63.33032258
440748,PHILIPPINES,74,19/06/2017,No Spends,Salary with Bank,Inactive DR,Active Bill,Active CC,0
451674,INDIA,50,8/04/2021,Active,Salary with Other Bank,No DR,Active Bill,No CC,0.475806452
173310,INDIA,49,19/06/2018,Active,Salary with Other Bank,Inactive DR,No Bill,Active CC,10763.41871
277083,INDIA,75,14/02/2020,Active,Salary with Other Bank,Inactive DR,Active Bill,Inactive CC,2447.024839
187382,PAKISTAN,49,10/06/2019,Active,Salary with Other Bank,Active DR,Inactive Bill,Active CC,946.9516129
443940,INDIA,40,28/07/2019,Inactive,Salary with Other Bank,Inactive DR,Inactive Bill,Inactive CC,6330.003226
131835,EGYPT,29,19/12/2020,No Spends,Salary with Bank,Active DR,Inactive Bill,Active CC,0.33
397401,HUNGARY,37,23/09/2019,Inactive,Salary with Other Bank,No DR,Inactive Bill,No CC,0.68
388517,PHILIPPINES,65,29/06/2017,Active,No Salary,No DR,No Bill,No CC,528.5487097
332753,PHILIPPINES,44,26/11/2021,Active,No Salary,Active DR,Active Bill,No CC,0
229004,NEPAL,76,9/09/2019,Active,Salary with Bank,Inactive DR,Active Bill,No CC,3276.818387
3719,INDIA,68,27/02/2021,No Spends,Salary with Other Bank,Active DR,No Bill,Active CC,154.8812903
405998,INDIA,23,2/09/2020,No Spends,No Salary,Inactive DR,No Bill,Inactive CC,11.85258065
114197,PHILIPPINES,27,16/11/2017,Active,No Salary,No DR,Inactive Bill,Inactive CC,1155.175161
29567,PAKISTAN,42,11/02/2018,No Spends,No Salary,Inactive DR,No Bill,No CC,0
270219,INDIA,32,11/02/2021,No Spends,Salary with Other Bank,No DR,No Bill,Inactive CC,8.631290323
421697,UNITED ARAB EMIRATES,55,8/04/2018,Active,No Salary,Active DR,Inactive Bill,Inactive CC,0
392332,INDIA,64,21/05/2021,No Spends,Salary with Other Bank,Inactive DR,No Bill,Inactive CC,0
463272,UNITED ARAB EMIRATES,53,12/08/2018,No Spends,Salary with Other Bank,No DR,Active Bill,Active CC,10.71870968
316456,INDIA,57,4/09/2017,No Spends,No Salary,No DR,No Bill,Active CC,0
220733,BANGLADESH,28,25/04/2021,No Spends,No Salary,Active DR,Active Bill,Inactive CC,9707.71
371717,BANGLADESH,29,7/01/2018,Active,No Salary,Active DR,Active Bill,Active CC,0.54
437884,INDIA,49,20/12/2019,No Spends,Salary with Other Bank,Active DR,Active Bill,Active CC,570.0496774
437859,UNITED KINGDOM,63,7/04/2018,Active,Salary with Bank,No DR,Active Bill,Active CC,615.0377419
355465,INDIA,57,7/11/2021,Inactive,Salary with Bank,No DR,No Bill,No CC,0
498652,INDIA,43,2/12/2018,No Spends,Salary with Bank,No DR,Inactive Bill,No CC,1019.45
67457,PHILIPPINES,50,13/11/2019,Active,No Salary,Active DR,No Bill,Inactive CC,0.63
349888,INDIA,30,30/08/2020,No Spends,No Salary,No DR,No Bill,Active CC,632.5693548
128227,PHILIPPINES,59,6/07/2018,Inactive,No Salary,No DR,Active Bill,No CC,8092.308065
380177,AFGHANISTAN,72,29/07/2019,No Spends,Salary with Other Bank,Active DR,Active Bill,Active CC,0
166816,INDIA,55,7/10/2017,Inactive,Salary with Other Bank,No DR,Inactive Bill,No CC,0
90292,INDIA,64,19/12/2018,No Spends,Salary with Bank,No DR,Active Bill,Active CC,418.4135484
407733,INDIA,54,22/07/2018,No Spends,Salary with Bank,Active DR,Active Bill,Active CC,5.000322581
137145,INDIA,24,16/06/2018,No Spends,Salary with Other Bank,Active DR,Active Bill,Inactive CC,33.02774194
426796,UNITED ARAB EMIRATES,30,10/07/2018,Active,No Salary,No DR,Active Bill,Inactive CC,48.46612903
76645,INDIA,45,8/01/2018,No Spends,Salary with Other Bank,Active DR,Active Bill,Inactive CC,1001.446452
278060,PHILIPPINES,25,2/09/2019,Inactive,No Salary,No DR,No Bill,Active CC,3.21
441875,UNITED ARAB EMIRATES,43,19/01/2020,Inactive,Salary with Other Bank,Active DR,Inactive Bill,Active CC,67.76354839
491155,BANGLADESH,33,24/02/2020,Inactive,Salary with Other Bank,No DR,No Bill,Inactive CC,367.5703226
46306,INDIA,39,28/11/2020,No Spends,No Salary,No DR,Active Bill,Inactive CC,0
416200,JORDAN,45,17/10/2021,Active,Salary with Other Bank,Inactive DR,Active Bill,Active CC,23.61774194
93868,IRAN,22,15/02/2020,No Spends,Salary with Other Bank,Inactive DR,Active Bill,Inactive CC,49511.09935
57676,PAKISTAN,33,12/03/2018,Active,No Salary,Active DR,Inactive Bill,Active CC,0
247323,EGYPT,22,28/04/2017,Active,Salary with Other Bank,Active DR,Inactive Bill,No CC,76232.42452
338378,INDIA,61,30/09/2017,No Spends,Salary with Bank,No DR,No Bill,No CC,11.27806452
349345,INDIA,70,17/10/2018,Inactive,Salary with Other Bank,No DR,Inactive Bill,Inactive CC,1142.52129
414743,INDIA,21,11/02/2021,Active,Salary with Bank,Active DR,Inactive Bill,Inactive CC,451.8674194
39973,INDIA,31,23/03/2020,No Spends,Salary with Other Bank,Active DR,No Bill,No CC,601.92
26,INDIA,39,17/12/2021,No Spends,No Salary,No DR,No Bill,Inactive CC,63.55
151966,PHILIPPINES,49,1/08/2021,No Spends,Salary with Bank,Active DR,No Bill,No CC,0.73
360901,INDIA,43,15/11/2020,Active,Salary with Bank,Inactive DR,Inactive Bill,Active CC,393.6877419
23473,PAKISTAN,57,20/05/2020,No Spends,Salary with Other Bank,Inactive DR,No Bill,No CC,1588.689355
362,INDIA,35,28/04/2017,Inactive,Salary with Other Bank,Active DR,Inactive Bill,Inactive CC,0
155328,PHILIPPINES,74,28/06/2020,Active,No Salary,Active DR,No Bill,No CC,0
380060,INDIA,66,4/07/2018,Active,Salary with Other Bank,Inactive DR,Inactive Bill,Active CC,0
145091,INDIA,31,12/09/2017,Inactive,Salary with Bank,Inactive DR,Inactive Bill,No CC,0.68
316922,PAKISTAN,48,9/10/2021,No Spends,Salary with Other Bank,No DR,No Bill,Inactive CC,50.5583871
171329,PHILIPPINES,52,26/08/2021,Inactive,No Salary,Inactive DR,No Bill,Inactive CC,0
73907,INDIA,71,24/01/2021,Inactive,No Salary,Active DR,Active Bill,Inactive CC,2463.299677
474842,PHILIPPINES,74,24/09/2019,No Spends,Salary with Other Bank,Inactive DR,No Bill,Active CC,613.3593548
38466,INDIA,60,3/12/2021,No Spends,Salary with Other Bank,No DR,Active Bill,Active CC,7385.806452
219134,INDIA,60,17/10/2017,Active,No Salary,No DR,No Bill,Inactive CC,63.89354839
417605,SRI LANKA,41,17/08/2020,Active,No Salary,Active DR,No Bill,Inactive CC,200.2809677
402662,YEMEN,38,10/04/2020,No Spends,Salary with Bank,No DR,Inactive Bill,Active CC,258.1451613
332224,UNITED KINGDOM,61,4/07/2017,No Spends,Salary with Other Bank,Active DR,No Bill,Active CC,64.54
247905,PHILIPPINES,29,15/01/2021,Inactive,No Salary,Active DR,Inactive Bill,Inactive CC,0
216053,INDIA,65,20/08/2020,No Spends,No Salary,Active DR,Active Bill,Inactive CC,25020.12871
173985,INDIA,27,3/07/2017,Inactive,Salary with Other Bank,Inactive DR,No Bill,Active CC,320.1277419
62508,EGYPT,58,25/12/2017,Active,Salary with Bank,No DR,Active Bill,Inactive CC,0.81
250780,PAKISTAN,22,18/02/2022,Active,No Salary,No DR,Active Bill,Active CC,0
68099,INDIA,71,25/08/2017,Inactive,Salary with Bank,Inactive DR,No Bill,No CC,8495.217097
208432,PHILIPPINES,60,12/06/2017,No Spends,No Salary,Inactive DR,Inactive Bill,Active CC,457.2554839
215124,INDIA,50,8/01/2021,Active,No Salary,No DR,Active Bill,No CC,6.052903226
455900,LEBANON,70,2/11/2020,Inactive,Salary with Other Bank,Active DR,No Bill,Active CC,29135.77839
299425,PHILIPPINES,30,19/04/2019,Active,No Salary,Active DR,Inactive Bill,No CC,839.6709677
361009,INDIA,75,27/09/2020,Inactive,Salary with Other Bank,Active DR,Inactive Bill,Inactive CC,2013.220645
230593,PHILIPPINES,23,9/04/2019,No Spends,No Salary,Inactive DR,Inactive Bill,No CC,907.9945161
488831,PHILIPPINES,24,24/02/2021,Active,Salary with Other Bank,Active DR,Active Bill,No CC,0
234951,INDIA,24,3/02/2020,Inactive,Salary with Other Bank,Inactive DR,Active Bill,Active CC,0
127437,INDIA,47,10/02/2018,Inactive,Salary with Bank,Active DR,Active Bill,No CC,10.69935484
415319,NEPAL,76,25/06/2020,No Spends,No Salary,Active DR,No Bill,No CC,280.3596774
180640,PHILIPPINES,38,4/02/2021,Active,Salary with Other Bank,Inactive DR,Active Bill,No CC,1664.788065
472643,UNITED STATES,26,21/05/2019,No Spends,Salary with Bank,Active DR,Inactive Bill,Inactive CC,0
292448,PHILIPPINES,58,31/07/2019,Active,No Salary,Inactive DR,No Bill,No CC,137.7035484
32739,PHILIPPINES,65,11/02/2018,Inactive,Salary with Bank,No DR,Inactive Bill,Active CC,827.6596774
393347,EGYPT,50,15/12/2019,No Spends,Salary with Other Bank,No DR,No Bill,Inactive CC,-0.689677419
388976,INDIA,64,20/12/2020,Active,Salary with Bank,No DR,No Bill,No CC,0
439710,SRI LANKA,59,26/10/2021,Active,Salary with Other Bank,Inactive DR,Active Bill,No CC,925.4854839
38726,PAKISTAN,77,5/01/2019,Active,Salary with Other Bank,Active DR,Inactive Bill,No CC,0.6
253923,PAKISTAN,73,8/03/2017,No Spends,Salary with Bank,Active DR,Active Bill,Inactive CC,0
160080,INDIA,58,7/02/2017,No Spends,Salary with Other Bank,Inactive DR,Inactive Bill,Inactive CC,0
309302,PAKISTAN,36,14/08/2018,Active,No Salary,No DR,Inactive Bill,Inactive CC,39.2883871
131187,PHILIPPINES,60,15/09/2020,No Spends,Salary with Bank,Inactive DR,Active Bill,Active CC,49766.93
459254,INDIA,24,25/03/2018,Active,No Salary,Inactive DR,No Bill,Active CC,356.6170968
16843,JAPAN,70,4/06/2020,No Spends,Salary with Bank,Active DR,Active Bill,Inactive CC,21.66
442056,SOMALIA,41,9/02/2021,Inactive,No Salary,Inactive DR,Inactive Bill,Active CC,91.98387097
271150,CHINA,75,15/04/2017,Active,Salary with Bank,No DR,Inactive Bill,Active CC,79.92967742
462946,UNITED ARAB EMIRATES,57,27/09/2020,Active,Salary with Bank,Active DR,Active Bill,No CC,18967.56871
167859,PHILIPPINES,53,13/11/2019,No Spends,Salary with Other Bank,Inactive DR,No Bill,Active CC,0
374077,BANGLADESH,29,16/08/2017,Inactive,Salary with Other Bank,No DR,Inactive Bill,No CC,1382.607742
92505,BANGLADESH,30,4/08/2019,Active,No Salary,Active DR,No Bill,Active CC,0
386133,UNITED ARAB EMIRATES,41,8/09/2017,Inactive,Salary with Other Bank,No DR,No Bill,No CC,2.28
114143,EGYPT,55,1/12/2019,Inactive,Salary with Bank,Active DR,Active Bill,Inactive CC,0
313348,INDIA,36,7/07/2019,Inactive,Salary with Bank,Active DR,No Bill,Inactive CC,0
42113,PAKISTAN,59,8/02/2022,Inactive,No Salary,No DR,No Bill,Active CC,0
290541,INDIA,48,11/04/2017,Inactive,No Salary,No DR,Inactive Bill,Inactive CC,0
233774,CHINA,55,16/07/2018,Active,Salary with Bank,No DR,No Bill,Inactive CC,0
95648,UNITED ARAB EMIRATES,61,18/03/2021,Active,Salary with Other Bank,No DR,Active Bill,Inactive CC,1781.101935
390591,PHILIPPINES,68,10/05/2019,Active,Salary with Other Bank,Active DR,No Bill,Inactive CC,4093.747742
87542,PHILIPPINES,46,14/06/2017,Active,Salary with Bank,Active DR,Inactive Bill,Active CC,0
262160,EGYPT,73,13/06/2017,Inactive,No Salary,Active DR,Inactive Bill,Inactive CC,0
105295,INDIA,51,31/03/2021,No Spends,No Salary,Active DR,No Bill,No CC,10.5
389103,INDIA,65,13/12/2018,Active,No Salary,Active DR,Active Bill,Inactive CC,469.7248387
29498,INDIA,60,11/08/2021,Active,Salary with Other Bank,No DR,Active Bill,Inactive CC,440.7606452
122656,INDIA,71,28/08/2017,Active,Salary with Bank,No DR,Active Bill,Active CC,69.92645161
391664,INDIA,52,15/07/2021,Inactive,Salary with Bank,Inactive DR,Inactive Bill,Active CC,497.0967742
367439,INDIA,51,26/11/2021,No Spends,Salary with Other Bank,No DR,Inactive Bill,No CC,1698.392258
161883,INDIA,59,1/09/2021,Inactive,No Salary,Active DR,Inactive Bill,Inactive CC,0
312050,PHILIPPINES,23,28/05/2021,Active,No Salary,Active DR,Inactive Bill,No CC,1703.276452
347648,PAKISTAN,28,17/05/2018,Inactive,Salary with Bank,No DR,Inactive Bill,Inactive CC,0
374185,PHILIPPINES,75,23/04/2018,No Spends,No Salary,Inactive DR,Inactive Bill,No CC,255.1919355
147493,UNITED ARAB EMIRATES,44,7/08/2019,Inactive,Salary with Other Bank,Active DR,No Bill,Active CC,0
253646,SRI LANKA,32,1/02/2018,Active,Salary with Other Bank,No DR,Active Bill,Inactive CC,11561.0229
234445,NEPAL,40,14/12/2021,No Spends,No Salary,Active DR,No Bill,Inactive CC,284.4345161
41137,KENYA,73,5/01/2020,Active,No Salary,Inactive DR,No Bill,Inactive CC,0
361910,PHILIPPINES,46,12/03/2018,Active,No Salary,Active DR,Active Bill,No CC,10.56
26595,MACEDONIA,40,7/06/2017,Active,No Salary,Inactive DR,No Bill,Active CC,0
