Customer No,Customer Nationality,Customer Age,Account Opening Date,DC Spends,SALARY_FLAG,DR_FLAG,Bill Payment,CC Spends,Monthly Average Balance
67751,INDIA,56,5/09/2021,Active,Salary with Other Bank,Active DR,Active Bill,Inactive CC,0
395631,INDIA,38,24/06/2021,Inactive,Salary with Bank,No DR,Inactive Bill,Active CC,-0.75
30654,INDIA,22,6/03/2022,Active,Salary with Bank,No DR,No Bill,Active CC,208.2516129
412664,PHILIPPINES,23,2/03/2021,Active,Salary with Other Bank,Active DR,No Bill,Inactive CC,15.11064516
259334,PHILIPPINES,42,10/03/2021,Active,Salary with Bank,Inactive DR,Inactive Bill,Active CC,0
45734,JORDAN,76,30/01/2020,No Spends,Salary with Other Bank,No DR,Active Bill,Active CC,4017.307097
294067,PAKISTAN,46,16/05/2019,No Spends,No Salary,Active DR,Active Bill,No CC,1.951935484
46756,INDIA,75,18/01/2021,Active,Salary with Bank,No DR,Active Bill,Active CC,20116.20323
208411,INDIA,48,2/11/2018,Active,Salary with Bank,No DR,Active Bill,Active CC,1889.830968
51567,BANGLADESH,66,16/11/2018,No Spends,Salary with Bank,Active DR,Active Bill,Inactive CC,197.5574194
343615,PAKISTAN,37,3/06/2017,Inactive,Salary with Other Bank,Active DR,Active Bill,No CC,0
56224,INDIA,27,1/11/2017,No Spends,Salary with Other Bank,No DR,Inactive Bill,Active CC,253.2170968
30647,PAKISTAN,29,30/08/2017,No Spends,Salary with Other Bank,No DR,No Bill,Active CC,0.98
168666,INDIA,30,12/09/2021,No Spends,No Salary,No DR,Active Bill,Inactive CC,0
45172,PHILIPPINES,70,1/06/2018,No Spends,No Salary,No DR,Active Bill,Inactive CC,0
374255,INDIA,54,12/08/2017,Inactive,No Salary,Inactive DR,Inactive Bill,No CC,1581.128065
253022,PAKISTAN,65,9/10/2017,No Spends,Salary with Other Bank,No DR,Active Bill,Inactive CC,0
379513,EGYPT,46,17/10/2017,Inactive,Salary with Other Bank,No DR,Inactive Bill,Inactive CC,5029.770645
451279,INDIA,42,24/10/2021,Inactive,Salary with Other Bank,Active DR,Inactive Bill,Inactive CC,2464.012581
178807,INDIA,70,12/12/2021,No Spends,No Salary,Inactive DR,No Bill,Active CC,15.75
359903,EGYPT,52,25/06/2019,Inactive,Salary with Other Bank,Inactive DR,Inactive Bill,Inactive CC,0
202569,EGYPT,25,7/04/2017,Inactive,Salary with Other Bank,Inactive DR,No Bill,Inactive CC,711.5580645
146381,INDIA,51,24/12/2020,No Spends,Salary with Other Bank,Active DR,No Bill,Active CC,2132.648065
406877,INDIA,73,11/02/2020,Active,Salary with Other Bank,No DR,No Bill,No CC,1.421935484
95249,PAKISTAN,50,15/03/2022,Inactive,Salary with Other Bank,No DR,Active Bill,No CC,53.45967742
36733,INDIA,69,3/12/2017,No Spends,Salary with Bank,No DR,Active Bill,Inactive CC,3.94
432004,INDIA,22,10/02/2020,No Spends,No Salary,Inactive DR,Inactive Bill,Active CC,2204.631613
1010,PHILIPPINES,42,28/03/2017,No Spends,No Salary,No DR,No Bill,Active CC,0
486000,PHILIPPINES,50,4/01/2018,Inactive,No Salary,Inactive DR,Active Bill,Inactive CC,177.3509677
425847,PHILIPPINES,58,21/11/2017,Inactive,Salary with Other Bank,No DR,Active Bill,Active CC,0
18871,INDIA,52,24/10/2019,No Spends,Salary with Other Bank,No DR,No Bill,No CC,82.25
198459,PHILIPPINES,62,7/09/2018,No Spends,No Salary,No DR,No Bill,No CC,0
302998,UNITED ARAB EMIRATES,55,12/12/2019,Inactive,Salary with Bank,Inactive DR,No Bill,No CC,0
52079,UNITED ARAB EMIRATES,68,16/06/2020,Active,Salary with Bank,No DR,No Bill,Active CC,699.6819355
406301,INDIA,74,15/10/2018,No Spends,No Salary,Active DR,Active Bill,No CC,16.5316129
460540,INDIA,22,17/05/2017,Active,No Salary,No DR,Active Bill,No CC,485.6780645
403589,SRI LANKA,72,17/11/2021,No Spends,Salary with Bank,Inactive DR,No Bill,No CC,607.4396774
449414,INDIA,45,8/11/2019,Inactive,Salary with Bank,No DR,Inactive Bill,Inactive CC,0
311730,PAKISTAN,68,1/05/2019,No Spends,Salary with Bank,Active DR,Inactive Bill,No CC,0
130169,INDIA,39,7/06/2019,Active,No Salary,Inactive DR,No Bill,Active CC,2476.956774
231498,SUDAN,26,27/05/2017,Active,Salary with Bank,No DR,No Bill,Inactive CC,227.6906452
116505,INDIA,40,20/01/2019,Inactive,No Salary,Inactive DR,Active Bill,Inactive CC,19748.24581
343241,PAKISTAN,71,31/07/2020,Inactive,Salary with Bank,Active DR,Active Bill,Active CC,53.00741935
132084,PAKISTAN,43,7/12/2021,Active,Salary with Bank,Active DR,No Bill,Active CC,1062.504839
306970,PHILIPPINES,50,7/12/2021,Inactive,Salary with Other Bank,No DR,Active Bill,Active CC,0
186384,INDIA,75,21/08/2021,Active,Salary with Bank,No DR,Inactive Bill,No CC,62.9416129
417627,INDIA,49,3/04/2021,Inactive,Salary with Other Bank,Inactive DR,Active Bill,Active CC,0
378241,INDIA,71,29/06/2019,Active,Salary with Bank,Active DR,Inactive Bill,No CC,314.3551613
219018,INDIA,31,22/09/2017,No Spends,Salary with Bank,No DR,Inactive Bill,No CC,0
497568,JORDAN,22,19/02/2018,Inactive,Salary with Other Bank,No DR,Active Bill,Inactive CC,136.9119355
35510,BANGLADESH,44,3/05/2021,No Spends,Salary with Other Bank,No DR,No Bill,Active CC,0.96
391272,INDIA,32,3/08/2017,No Spends,Salary with Bank,Inactive DR,Inactive Bill,No CC,35625.4
110876,UNITED ARAB EMIRATES,69,9/01/2018,Active,No Salary,Active DR,Active Bill,Inactive CC,157.6219355
375776,PHILIPPINES,72,2/03/2021,No Spends,Salary with Other Bank,Inactive DR,Inactive Bill,No CC,0.058064516
26704,REPUBLIC OF SERBIA,45,12/07/2019,Active,No Salary,No DR,No Bill,Active CC,582.5041935
184526,SAUDI ARABIA,31,30/09/2019,Active,Salary with Bank,Inactive DR,Inactive Bill,Active CC,0
489293,INDONESIA,33,24/07/2017,Active,Salary with Other Bank,Active DR,Active Bill,Active CC,3288.077742
323318,INDIA,44,13/10/2020,No Spends,Salary with Other Bank,Inactive DR,Inactive Bill,No CC,0
174663,UGANDA,51,25/08/2021,Inactive,Salary with Bank,Active DR,No Bill,No CC,2289.674839
353390,UNITED ARAB EMIRATES,61,25/03/2022,Inactive,Salary with Bank,Active DR,Active Bill,Inactive CC,410.8219355
61746,INDIA,35,20/10/2019,Inactive,Salary with Other Bank,Active DR,Active Bill,Inactive CC,306.5693548
233316,BULGARIA,55,28/01/2022,No Spends,No Salary,No DR,No Bill,Inactive CC,1298.489677
465733,INDIA,23,23/09/2020,No Spends,No Salary,Inactive DR,Inactive Bill,No CC,0
189196,INDIA,38,1/11/2021,No Spends,Salary with Bank,Inactive DR,No Bill,Inactive CC,37018.85355
184966,EGYPT,21,11/04/2019,Inactive,No Salary,Inactive DR,Inactive Bill,Active CC,4.75
397791,INDIA,39,5/06/2019,Inactive,Salary with Bank,Inactive DR,No Bill,Inactive CC,36.68290323
138560,INDIA,58,18/08/2019,Inactive,Salary with Other Bank,Active DR,Active Bill,Active CC,0
292752,INDIA,73,23/05/2019,Inactive,Salary with Other Bank,Active DR,No Bill,Inactive CC,4650.4
19212,TANZANIA,66,13/04/2019,Inactive,Salary with Other Bank,No DR,Inactive Bill,Inactive CC,2.13
135583,PHILIPPINES,67,24/10/2020,Active,Salary with Bank,No DR,No Bill,Active CC,494.2522581
231278,INDIA,42,20/03/2021,No Spends,Salary with Bank,Inactive DR,Active Bill,Active CC,0
265067,NEPAL,72,15/04/2017,Inactive,Salary with Other Bank,No DR,No Bill,Active CC,1054.325806
490127,PHILIPPINES,66,27/04/2018,Inactive,Salary with Other Bank,No DR,Inactive Bill,Inactive CC,0
331562,PHILIPPINES,62,15/12/2017,Inactive,Salary with Bank,Active DR,Active Bill,Active CC,235.0848387
333686,CAMEROON,28,14/03/2021,Inactive,Salary with Other Bank,Active DR,No Bill,Active CC,14.67
310056,PHILIPPINES,37,5/03/2021,Inactive,Salary with Bank,Inactive DR,No Bill,Active CC,0
48936,INDIA,54,22/05/2021,Inactive,Salary with Bank,No DR,Inactive Bill,Active CC,0
74085,PHILIPPINES,38,2/02/2018,Active,No Salary,Inactive DR,Inactive Bill,No CC,0
245205,PAKISTAN,29,31/03/2022,Inactive,Salary with Other Bank,No DR,Active Bill,No CC,0
53737,PAKISTAN,35,6/04/2021,No Spends,Salary with Bank,No DR,Inactive Bill,Inactive CC,96.77
160894,PAKISTAN,46,25/04/2019,No Spends,Salary with Bank,Active DR,Inactive Bill,Active CC,0
392529,INDIA,49,20/10/2018,Inactive,Salary with Other Bank,Active DR,Active Bill,Active CC,8384.756452
363863,SRI LANKA,48,1/09/2019,Inactive,Salary with Bank,No DR,Active Bill,No CC,0
150550,INDIA,41,10/03/2018,No Spends,Salary with Bank,Inactive DR,Active Bill,Active CC,0
495901,ETHOPIA,54,26/05/2019,Active,Salary with Other Bank,No DR,No Bill,Active CC,19500
284507,INDIA,32,25/03/2020,Inactive,Salary with Bank,Active DR,Inactive Bill,No CC,0
314002,INDIA,45,21/11/2020,Active,Salary with Bank,No DR,Inactive Bill,Active CC,0
112227,PAKISTAN,41,11/10/2021,Inactive,Salary with Bank,No DR,No Bill,No CC,0
235004,INDIA,69,3/11/2017,No Spends,No Salary,Inactive DR,Active Bill,Active CC,141031.9526
260427,INDIA,51,26/07/2020,No Spends,Salary with Bank,Inactive DR,Inactive Bill,Active CC,2982.916452
167231,INDIA,54,25/03/2020,Active,Salary with Other Bank,Active DR,No Bill,No CC,65.84032258
378509,PHILIPPINES,42,16/04/2021,Active,Salary with Other Bank,No DR,Inactive Bill,Inactive CC,8949.773226
424565,PHILIPPINES,28,31/12/2020,Inactive,Salary with Bank,Active DR,No Bill,Inactive CC,10.59032258
136620,INDIA,77,3/09/2020,Active,No Salary,Inactive DR,Inactive Bill,Active CC,0
310779,INDIA,48,19/10/2017,Inactive,No Salary,No DR,Active Bill,No CC,0
328933,PHILIPPINES,37,6/03/2018,Active,No Salary,Inactive DR,Inactive Bill,No CC,679.6370968
135437,PHILIPPINES,38,1/07/2021,Inactive,Salary with Bank,No DR,No Bill,Active CC,728.2145161
337844,PHILIPPINES,63,26/05/2019,Active,No Salary,No DR,No Bill,No CC,13.4483871
206471,INDIA,72,9/06/2017,Active,Salary with Bank,Active DR,No Bill,Active CC,19119.44161
499963,NETHERLANDS,73,24/11/2018,No Spends,Salary with Bank,Active DR,Inactive Bill,Inactive CC,0
271169,PAKISTAN,36,23/10/2019,Inactive,No Salary,No DR,Active Bill,Active CC,7480.060968
176745,PAKISTAN,42,24/01/2018,Active,Salary with Bank,Inactive DR,Active Bill,Inactive CC,0
274900,INDIA,67,24/01/2019,Inactive,Salary with Bank,Active DR,Active Bill,Active CC,3464.072903
487805,PHILIPPINES,46,18/01/2018,Active,Salary with Other Bank,Inactive DR,Inactive Bill,No CC,0
230858,EGYPT,71,30/08/2021,No Spends,Salary with Other Bank,Inactive DR,Active Bill,No CC,25533.33355
282751,PHILIPPINES,37,20/03/2019,Inactive,Salary with Other Bank,Active DR,No Bill,Active CC,3177.606452
310918,CHINA,57,2/01/2021,No Spends,No Salary,No DR,Active Bill,No CC,12004.90516
364892,PALESTINE,31,21/01/2022,No Spends,No Salary,No DR,Active Bill,Inactive CC,103.07
233437,INDIA,43,16/08/2020,No Spends,Salary with Other Bank,Active DR,No Bill,Active CC,0
378019,PHILIPPINES,71,11/02/2019,Active,No Salary,Active DR,No Bill,Active CC,13.45193548
428850,INDIA,27,20/12/2017,Active,Salary with Other Bank,Inactive DR,Active Bill,No CC,0
46930,INDIA,34,20/01/2018,No Spends,Salary with Other Bank,Inactive DR,No Bill,No CC,0
218888,EGYPT,55,15/03/2017,Inactive,Salary with Other Bank,No DR,Active Bill,Inactive CC,165.28
400229,AFGHANISTAN,54,2/12/2017,Active,Salary with Bank,No DR,Inactive Bill,Active CC,2.42
179071,PAKISTAN,34,22/06/2019,No Spends,No Salary,Inactive DR,No Bill,Inactive CC,0
68103,INDIA,70,3/04/2019,Active,No Salary,Inactive DR,Active Bill,No CC,3209.722581
498474,INDIA,41,15/12/2018,Inactive,Salary with Bank,Active DR,Active Bill,Inactive CC,0
433904,NEPAL,39,14/09/2017,Active,Salary with Bank,Inactive DR,Inactive Bill,Active CC,0
31860,PAKISTAN,35,5/01/2020,Active,Salary with Bank,Active DR,Active Bill,Active CC,723.9248387
26205,UNITED ARAB EMIRATES,21,30/05/2018,Active,Salary with Other Bank,No DR,No Bill,Active CC,1332.324194
50656,INDIA,74,19/12/2020,Inactive,Salary with Bank,Inactive DR,Active Bill,No CC,0
55341,INDIA,77,12/04/2019,Active,Salary with Bank,Inactive DR,Active Bill,Active CC,0
375697,IRAQ,57,24/09/2018,Active,No Salary,No DR,Inactive Bill,Active CC,1677.159032
110297,PAKISTAN,47,3/04/2019,Inactive,Salary with Bank,No DR,No Bill,Inactive CC,530.0274194
284262,ZIMBABWE,53,9/04/2019,Active,Salary with Bank,Active DR,No Bill,Inactive CC,0
315788,PAKISTAN,70,20/12/2018,No Spends,Salary with Other Bank,No DR,Inactive Bill,Inactive CC,1615.467419
68791,LEBANON,41,19/05/2018,No Spends,Salary with Other Bank,Active DR,Active Bill,Active CC,86558.79032
358717,PHILIPPINES,58,10/09/2018,No Spends,No Salary,Inactive DR,No Bill,No CC,475.6319355
203499,INDIA,41,19/04/2021,Active,No Salary,Inactive DR,Inactive Bill,Inactive CC,0
115069,INDIA,50,26/07/2018,Inactive,No Salary,No DR,Inactive Bill,No CC,50
468507,EGYPT,32,11/03/2018,No Spends,Salary with Bank,Active DR,Inactive Bill,Inactive CC,130.5867742
188099,PHILIPPINES,30,3/04/2018,No Spends,Salary with Other Bank,No DR,Inactive Bill,Inactive CC,6569.666774
323867,BANGLADESH,66,5/09/2018,Inactive,Salary with Other Bank,Inactive DR,Active Bill,Inactive CC,498.0203226
437486,INDIA,72,28/02/2019,No Spends,Salary with Other Bank,Active DR,No Bill,Inactive CC,979.976129
352036,UNITED ARAB EMIRATES,69,27/01/2022,Active,Salary with Other Bank,Inactive DR,Inactive Bill,Inactive CC,355.6970968
236639,PAKISTAN,42,16/05/2017,Active,Salary with Other Bank,No DR,Active Bill,Inactive CC,31322.18452
29171,PAKISTAN,28,15/03/2022,No Spends,Salary with Other Bank,Active DR,No Bill,Active CC,695.07
194813,PAKISTAN,46,16/02/2020,Inactive,Salary with Other Bank,Inactive DR,Active Bill,Inactive CC,0
211676,CAMEROON,68,8/02/2019,Inactive,Salary with Other Bank,Active DR,Inactive Bill,No CC,41.13032258
147374,PAKISTAN,75,25/09/2017,No Spends,Salary with Other Bank,No DR,Inactive Bill,No CC,3103.688065
31171,PHILIPPINES,46,26/11/2020,No Spends,Salary with Other Bank,Inactive DR,Inactive Bill,Inactive CC,1.21
103760,PAKISTAN,26,10/04/2017,No Spends,No Salary,Inactive DR,Inactive Bill,No CC,118.54
390119,SRI LANKA,46,14/03/2018,Inactive,No Salary,No DR,No Bill,No CC,0
232891,INDIA,52,6/04/2017,No Spends,Salary with Other Bank,No DR,Inactive Bill,No CC,0
287645,INDIA,27,12/06/2017,Active,No Salary,Inactive DR,Active Bill,Inactive CC,15973.73839
336473,PALESTINE,26,30/09/2018,No Spends,No Salary,No DR,Active Bill,Inactive CC,0
401316,UGANDA,44,24/01/2019,No Spends,No Salary,Inactive DR,Active Bill,Active CC,0.702580645
73780,RUSSIAN FEDERATION,59,17/07/2019,Inactive,Salary with Bank,No DR,Inactive Bill,Inactive CC,0
151949,KENYA,25,24/03/2018,No Spends,Salary with Other Bank,Inactive DR,No Bill,No CC,0
186875,INDIA,69,18/02/2021,Active,Salary with Bank,No DR,No Bill,Active CC,0
152111,CZECH REPUBLIC,66,6/01/2019,No Spends,No Salary,Active DR,No Bill,Inactive CC,20182.81806
90960,PHILIPPINES,60,25/09/2021,No Spends,Salary with Other Bank,Inactive DR,No Bill,Active CC,5.66
354736,INDIA,77,24/05/2017,No Spends,No Salary,No DR,Active Bill,No CC,3167.430323
176881,PHILIPPINES,53,23/02/2018,Active,Salary with Other Bank,Inactive DR,No Bill,Inactive CC,0
103435,INDIA,31,12/09/2021,Active,No Salary,Inactive DR,Inactive Bill,Active CC,431.26
426104,INDIA,40,13/04/2017,Inactive,Salary with Bank,Active DR,Active Bill,No CC,0
34195,BANGLADESH,72,13/05/2020,No Spends,Salary with Other Bank,No DR,No Bill,Active CC,3927.076452
357791,PAKISTAN,44,27/03/2022,No Spends,No Salary,No DR,Active Bill,Inactive CC,2370.75
439725,INDIA,35,24/03/2017,No Spends,Salary with Other Bank,Inactive DR,Inactive Bill,No CC,44.54645161
455304,INDIA,24,15/01/2018,No Spends,No Salary,Inactive DR,Inactive Bill,Active CC,784.6790323
341447,INDIA,70,10/08/2018,Active,Salary with Other Bank,No DR,Inactive Bill,Inactive CC,0
106051,INDIA,61,10/04/2021,Active,Salary with Bank,Active DR,Inactive Bill,Active CC,10.5
213814,INDIA,25,31/05/2020,Active,No Salary,Inactive DR,Inactive Bill,Active CC,0
161053,PHILIPPINES,53,20/01/2022,Active,Salary with Other Bank,Active DR,Active Bill,No CC,1215.904839
311622,INDIA,44,6/10/2020,Active,Salary with Other Bank,Inactive DR,No Bill,Inactive CC,0
52190,PAKISTAN,68,23/09/2019,No Spends,Salary with Other Bank,No DR,Active Bill,Inactive CC,0
396624,INDIA,54,11/02/2020,Inactive,Salary with Other Bank,Active DR,No Bill,No CC,0
353699,SRI LANKA,36,26/06/2019,Active,No Salary,No DR,No Bill,Active CC,0
230300,SRI LANKA,39,20/10/2018,No Spends,Salary with Bank,Active DR,Active Bill,Active CC,10619.36
171319,INDIA,34,25/06/2021,Inactive,Salary with Bank,Inactive DR,Active Bill,Active CC,108.6622581
353987,SRI LANKA,64,9/10/2017,No Spends,No Salary,Inactive DR,Inactive Bill,Active CC,554.3109677
364335,FRANCE,27,31/03/2017,Active,Salary with Other Bank,Active DR,Active Bill,No CC,5161.634839
114834,PHILIPPINES,66,24/03/2018,No Spends,Salary with Bank,Active DR,Inactive Bill,Inactive CC,4620.606774
149727,PAKISTAN,39,7/12/2021,No Spends,Salary with Bank,No DR,No Bill,Inactive CC,0
350419,SOUTH AFRICA,25,9/09/2020,No Spends,Salary with Bank,No DR,Active Bill,No CC,12301.32452
225271,PHILIPPINES,63,18/07/2020,Inactive,No Salary,Active DR,Active Bill,Active CC,0
77204,INDIA,44,18/08/2019,Inactive,Salary with Other Bank,No DR,Active Bill,No CC,738.563871
153682,INDIA,64,13/04/2017,Inactive,No Salary,Inactive DR,No Bill,Inactive CC,6753.879355
268686,PHILIPPINES,40,27/09/2018,No Spends,No Salary,Active DR,Inactive Bill,Inactive CC,4.75
336895,INDIA,28,11/10/2017,Inactive,No Salary,Active DR,Active Bill,Inactive CC,436.7106452
373226,PHILIPPINES,46,17/11/2020,No Spends,No Salary,No DR,Inactive Bill,Inactive CC,0
216829,SRI LANKA,22,3/04/2017,No Spends,No Salary,No DR,Inactive Bill,Active CC,8199.471613
463140,INDIA,37,26/04/2019,Inactive,Salary with Bank,No DR,No Bill,No CC,2920.512258
279668,INDIA,55,8/10/2020,Inactive,Salary with Bank,No DR,Inactive Bill,No CC,2425.368387
406928,INDIA,33,28/03/2018,Inactive,Salary with Bank,Inactive DR,Inactive Bill,Active CC,1.31
132107,EGYPT,48,31/05/2019,Active,No Salary,No DR,No Bill,Inactive CC,857.7793548
343698,EGYPT,28,17/12/2017,Inactive,Salary with Other Bank,Active DR,No Bill,Active CC,0
491201,INDIA,35,10/04/2018,No Spends,Salary with Bank,Active DR,Inactive Bill,No CC,620.6258065
16025,UNITED ARAB EMIRATES,27,3/01/2018,Active,No Salary,No DR,Active Bill,Active CC,0
227662,PHILIPPINES,52,18/08/2018,Active,Salary with Other Bank,Active DR,Inactive Bill,Inactive CC,0
59527,PHILIPPINES,34,3/09/2021,No Spends,No Salary,Active DR,Active Bill,Active CC,955.4709677
283971,PHILIPPINES,53,22/07/2021,Inactive,Salary with Bank,Active DR,No Bill,Active CC,0
63797,PAKISTAN,55,27/08/2021,No Spends,No Salary,Inactive DR,Active Bill,Active CC,0
289341,INDIA,33,25/05/2021,Active,Salary with Other Bank,No DR,No Bill,Inactive CC,90.74709677
448495,PHILIPPINES,47,11/03/2021,No Spends,Salary with Bank,Active DR,Inactive Bill,Active CC,270.0135484
244602,PHILIPPINES,46,31/10/2021,Inactive,Salary with Bank,Inactive DR,Inactive Bill,Active CC,0
91441,INDIA,65,3/10/2019,No Spends,No Salary,Active DR,Active Bill,No CC,0
385537,VIETNAM,36,15/07/2020,Inactive,Salary with Other Bank,Active DR,No Bill,Inactive CC,0
207817,PAKISTAN,64,23/03/2019,Inactive,Salary with Other Bank,No DR,No Bill,Active CC,0
50802,SOUTH AFRICA,73,4/02/2018,Inactive,Salary with Bank,Active DR,Active Bill,Inactive CC,0
279887,INDIA,38,2/08/2017,Active,Salary with Bank,Inactive DR,No Bill,No CC,0
359613,INDIA,54,23/05/2019,No Spends,Salary with Other Bank,Inactive DR,Active Bill,Active CC,0
475173,NEPAL,77,24/07/2018,No Spends,Salary with Other Bank,Inactive DR,Active Bill,Active CC,0
279603,PAKISTAN,71,22/02/2019,No Spends,Salary with Bank,No DR,Inactive Bill,Active CC,72722.62806
327396,INDIA,50,4/09/2017,No Spends,Salary with Other Bank,Inactive DR,Inactive Bill,Inactive CC,0
374455,INDIA,60,26/05/2018,Inactive,No Salary,No DR,No Bill,Active CC,0
17203,INDIA,70,13/09/2021,No Spends,Salary with Bank,Inactive DR,Inactive Bill,Inactive CC,5.19
95894,PAKISTAN,41,30/05/2021,Inactive,Salary with Bank,Inactive DR,No Bill,No CC,0
384765,PHILIPPINES,52,3/09/2020,No Spends,No Salary,No DR,Active Bill,No CC,0
422592,PHILIPPINES,43,9/10/2018,Inactive,Salary with Bank,Inactive DR,No Bill,Active CC,1840.010968
415012,INDIA,75,24/01/2021,Inactive,No Salary,No DR,No Bill,Active CC,422.9451613
411183,PHILIPPINES,63,26/03/2019,No Spends,Salary with Other Bank,Inactive DR,Active Bill,Inactive CC,0
83196,PAKISTAN,42,16/09/2019,Inactive,No Salary,No DR,Inactive Bill,Inactive CC,0
378867,PHILIPPINES,21,11/11/2018,No Spends,Salary with Other Bank,Active DR,Inactive Bill,Active CC,0
196252,PAKISTAN,54,5/03/2021,Inactive,No Salary,No DR,No Bill,Active CC,3743.204194
88507,SRI LANKA,22,10/05/2018,Inactive,No Salary,Inactive DR,No Bill,Active CC,424.8416129
114730,JORDAN,52,14/10/2019,Inactive,Salary with Bank,Active DR,Inactive Bill,Inactive CC,3000.15
265347,INDIA,37,17/12/2017,No Spends,Salary with Bank,No DR,Active Bill,Inactive CC,17.37
231584,CAMEROON,41,17/05/2018,Inactive,Salary with Bank,Inactive DR,Active Bill,Inactive CC,0
174324,PAKISTAN,65,27/09/2018,Inactive,Salary with Bank,No DR,No Bill,No CC,0
445929,INDIA,46,7/04/2020,No Spends,Salary with Other Bank,Active DR,No Bill,Inactive CC,740.4022581
73889,INDIA,39,6/01/2018,No Spends,Salary with Other Bank,Active DR,No Bill,Inactive CC,0
481557,NEPAL,53,18/04/2017,Active,No Salary,Active DR,No Bill,No CC,0
17933,BELGIUM,29,28/11/2019,No Spends,No Salary,Active DR,No Bill,No CC,1001.881613
75455,IRAN,28,30/01/2021,Active,Salary with Bank,Inactive DR,No Bill,Active CC,0
365265,INDIA,56,11/08/2021,Active,Salary with Bank,No DR,Active Bill,Active CC,0
159709,INDIA,36,14/05/2017,No Spends,Salary with Other Bank,No DR,No Bill,No CC,0
43510,PAKISTAN,58,10/07/2018,Active,Salary with Bank,Inactive DR,No Bill,Active CC,0
306635,TUNISIA,62,25/11/2018,Inactive,Salary with Other Bank,Active DR,No Bill,No CC,10.50903226
96463,SUDAN,58,31/05/2018,Active,Salary with Bank,Inactive DR,Inactive Bill,No CC,1.543548387
204344,PAKISTAN,28,15/08/2019,No Spends,No Salary,Inactive DR,Active Bill,Inactive CC,0
391062,PHILIPPINES,49,3/02/2020,Inactive,No Salary,No DR,Active Bill,Inactive CC,0
136324,UNITED ARAB EMIRATES,34,23/01/2020,No Spends,No Salary,Inactive DR,Active Bill,Inactive CC,2706.715161
208771,INDIA,23,29/05/2021,Inactive,Salary with Other Bank,Inactive DR,No Bill,Inactive CC,142.1625806
235593,SRI LANKA,77,6/04/2021,Active,Salary with Other Bank,No DR,Inactive Bill,Inactive CC,15.75
279040,PHILIPPINES,36,22/09/2020,No Spends,Salary with Other Bank,No DR,No Bill,Active CC,544.2790323
35993,INDIA,44,3/12/2021,Inactive,No Salary,Inactive DR,Active Bill,No CC,8.91
349704,PAKISTAN,74,25/03/2020,No Spends,No Salary,Inactive DR,No Bill,Inactive CC,0
214762,PHILIPPINES,32,3/12/2019,Inactive,No Salary,No DR,Inactive Bill,Active CC,2099.96871
123831,INDIA,50,13/03/2017,Inactive,Salary with Bank,No DR,Active Bill,Inactive CC,1626.549677
171086,PAKISTAN,77,25/01/2020,Inactive,Salary with Other Bank,Inactive DR,Active Bill,Inactive CC,0
114929,PHILIPPINES,73,8/04/2021,Active,Salary with Bank,Inactive DR,Inactive Bill,Active CC,10.5
130854,PAKISTAN,34,2/09/2019,Active,Salary with Bank,Active DR,Active Bill,Active CC,3.354193548
300785,INDIA,55,30/10/2019,Active,Salary with Bank,No DR,Active Bill,No CC,454.203871
239275,SYRIA,64,5/09/2021,No Spends,Salary with Bank,No DR,Active Bill,No CC,6.14
105069,INDIA,45,4/01/2022,No Spends,Salary with Bank,No DR,Active Bill,Inactive CC,409.593871
305737,INDIA,39,23/08/2019,Active,No Salary,Active DR,Active Bill,Active CC,0
33617,INDIA,50,10/01/2019,Active,Salary with Bank,No DR,Active Bill,Inactive CC,0
185899,BANGLADESH,56,15/01/2019,Active,Salary with Bank,No DR,No Bill,No CC,213.6722581
407201,INDIA,63,1/02/2020,No Spends,Salary with Other Bank,Active DR,Inactive Bill,No CC,0
464774,EGYPT,31,6/07/2018,Active,Salary with Bank,Active DR,Active Bill,No CC,0
